Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,35-44,Other,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Sideswipe,One-Way Road,No Injury,Clear,Other,Front ,35-44,Distracted,Female,Normal Movement,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,25-34,Other,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Right Angle,Two-Way Road With A Physical Separation,Moderate,Clear,Avenue,Rear ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,25-34,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,35-44,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,55-64,Normal,Male,Other,Other,Controls Functioning,Driver Error,31-40 mph
Peak,Other,Straight-Level,Other,Other,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,65-74,Normal,Male,Normal Movement,Signal ,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Other,Head-On,Two-Way Road With A Physical Barrier,Moderate,Clear,Drive,Front Left,15-24,Unknown,Male,Other,Other,No Controls,Driver Error,61-70 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Unknown,Female,Other,Other,No Controls,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,None,15-24,Normal,Male,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front Left,25-34,Distracted,Male,Driver Violation,Signal ,Controls Not Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Front Left,25-34,Impaired,Male,Normal Movement,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Street/Lane/Road,None,65-74,Distracted,Male,Normal Movement,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Right ,25-34,Normal,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Normal,Female,Other,Signal ,Controls Functioning,Driver Error,31-40 mph
Peak,Full Control,Curve-Level,Violations,Daylight,Business,Head-On,One-Way Road,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,25-34,Normal,Male,Other,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,45-54,Normal,Male,Normal Movement,Other,No Controls,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Boulevard,Front ,45-54,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Left Turn,One-Way Road,Complaint,Clear,Other,Front ,35-44,Distracted,Male,Other,Signal ,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,One-Way Road,No Injury,Clear,Other,Front ,35-44,Impaired,Male,Driver Condition,Other,No Controls,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,No Injury,Clear,Other,Rear ,55-64,Normal,Male,Other,Sign,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Left Turn,One-Way Road,No Injury,Clear,Other,Rear ,25-34,Normal,Female,Normal Movement,Other,No Controls,Other,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,35-44,Normal,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Rear ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Normal,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,35-44,Unknown,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Sign,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dusk/Dawn,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Front Left,15-24,Normal,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Avenue,Front ,15-24,Distracted,Male,Other,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Rear ,15-24,Distracted,Female,Other,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,65-74,Distracted,Female,Other,Sign,Controls Functioning,Other,20 mph or less
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,None,25-34,Distracted,Female,Normal Movement,Other,No Controls,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Other,Daylight,Residential ,Left Turn,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Rear ,25-34,Distracted,Female,Driver Condition,Sign,No Controls,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,Full Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front Left,75-Inf,Normal,Female,Driver Violation,Sign,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Other,Right ,45-54,Impaired,Female,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,No Injury,Clear,Other,Front ,25-34,Normal,Male,Driver Violation,Sign,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Clear,Avenue,Rear ,25-34,Impaired,Male,Driver Violation,Signal ,Controls Functioning,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Drive,Left,35-44,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,No Violations,41-50 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Front Left,65-74,Normal,Female,Driver Violation,Other,Controls Functioning,Other,20 mph or less
Peak,Partial Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,15-24,Distracted,Female,Normal Movement,Signal ,Controls Functioning,Driver Condition,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Street Light At Intersection Only,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Avenue,Front ,45-54,Impaired,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,One-Way Road,No Injury,Cloudy,Street/Lane/Road,Front Left,35-44,Normal,Male,Driver Violation,Other,No Controls,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,65-74,Distracted,Male,Driver Violation,Sign,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,On Grade,Condition Of Driver,Dark - Continuous Street Light,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Barrier,No Injury,Clear,Other,Front ,65-74,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Condition,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Clear,Other,Rear ,35-44,Normal,Male,Normal Movement,Signal ,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Avenue,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,Full Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,Complaint,Clear,Avenue,Rear ,35-44,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Severe,Clear,Street/Lane/Road,Front Left,15-24,Unknown,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,55-64,Fatigued/Illness,Male,Normal Movement,Yellow No Passing Line,Controls Not Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Avenue,Front Left,45-54,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Rear ,15-24,Normal,Female,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Rear ,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Boulevard,Front ,55-64,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Cloudy,Avenue,Front ,15-24,Other,Male,Driver Violation,Other,Controls Functioning,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,45-54,Normal,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Normal,Female,Driver Violation,Yellow Dashed Line,Other,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Left Turn,Two-Way Road With A Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front Left,25-34,Distracted,Female,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,Complaint,Clear,Boulevard,Other,15-24,Distracted,Male,Driver Violation,Other,No Controls,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Extension,Front Left,15-24,Unknown,Female,Other,Signal ,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Hillcrest,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Front Left,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,35-44,Distracted,Female,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,55-64,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Other,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Clear,Drive,Front Left,15-24,Unknown,Female,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Left,35-44,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,45-54,Fatigued/Illness,Male,Other,White Dashed Line,Other,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Other,Dark - Continuous Street Light,Business,Right Turn,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,55-64,Impaired,Male,Normal Movement,Other,No Controls,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Other,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,15-24,Normal,Female,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,No Injury,Clear,Other,Front ,45-54,Normal,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Other,Right Angle,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,35-44,Normal,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Right Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,None,25-34,Normal,Male,Normal Movement,White Dashed Line,Controls Functioning,Other,51-60 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Cloudy,Street/Lane/Road,Front ,65-74,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Street Light At Intersection Only,Business,Sideswipe,Two-Way Road With No Physical Separation,Moderate,Clear,Street/Lane/Road,Other,55-64,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Dusk/Dawn,Residential ,Right Turn,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front Left,55-64,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front Left,35-44,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front Left,25-34,Unknown,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,Two-Way Road With A Physical Separation,Moderate,Cloudy,Avenue,Left,25-34,Normal,Male,Normal Movement,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Cloudy,Other,Front Left,25-34,Impaired,Female,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,61-70 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Other,15-24,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Peak,No Control,Other,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Right ,15-24,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Rear End,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Distracted,Female,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,25-34,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,41-50 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front ,45-54,Unknown,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Other,25-34,Distracted,Male,Other,Yellow Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Rear End,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,15-24,Normal,Male,Other,Yellow No Passing Line,Controls Functioning,Vehicle Condition,51-60 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,65-74,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Head-On,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Other,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,61-70 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Right Turn,One-Way Road,Moderate,Clear,Boulevard,Front ,45-54,Impaired,Male,Driver Condition,Signal ,Controls Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Other,Head-On,Two-Way Road With No Physical Separation,Severe,Clear,Street/Lane/Road,Front ,35-44,Unknown,Male,Other,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,25-34,Normal,Male,Driver Violation,Other,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Other,None,45-54,Impaired,Male,Other,Other,Controls Functioning,Driver Condition,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Residential ,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Drive,Front ,55-64,Impaired,Female,Driver Condition,Other,No Controls,Driver Condition,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Other,35-44,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Avenue,Rear ,35-44,Distracted,Female,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Right ,45-54,Distracted,Female,Driver Violation,Other,No Controls,Other,20 mph or less
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Right ,15-24,Normal,Female,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Avenue,Left,15-24,Normal,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,Complaint,Clear,Highway,Total,15-24,Distracted,Male,Other,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Moderate,Clear,Street/Lane/Road,Front Left,25-34,Unknown,Unknown,Other,White Dashed Line,Controls Functioning,Other,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,Moderate,Clear,Avenue,Front ,75-Inf,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Moderate,Clear,Avenue,Front ,55-64,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Left Turn,One-Way Road,Complaint,Cloudy,Boulevard,Front Left,35-44,Normal,Female,Driver Violation,Sign,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Avenue,Front ,25-34,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Impaired,Male,Driver Condition,Sign,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Avenue,Other,35-44,Impaired,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Other,Daylight,Business,Left Turn,One-Way Road,No Injury,Clear,Avenue,Front ,15-24,Distracted,Male,Other,Signal ,Controls Functioning,Driver Condition,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Drive,Front Left,55-64,Distracted,Male,Other,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Drive,Front ,25-34,Distracted,Male,Other,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front Left,25-34,Normal,Female,Driver Violation,Other,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Other,Daylight,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Cloudy,Boulevard,Other,15-24,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Other,Dark - Continuous Street Light,Residential ,Rear End,Two-Way Road With No Physical Separation,Moderate,Rain/Fog/Sleet/Snow,Other,Front Left,65-74,Distracted,Male,Other,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Head-On,Two-Way Road With A Physical Separation,Severe,Clear,Other,Front ,45-54,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,51-60 mph
